timestamp,cycle,voltage_v,frequency_hz,power_w,thd_percent,outage,micro_outage,pre_fault,voltage_deviation,freq_deviation,voltage_out_of_tolerance,freq_out_of_tolerance,hour,is_peak_hour,is_night,outage_count,micro_outage_count,cycles_since_last_outage
2026-04-08T18:35:16.180664,1,231.56,49.299,152611.8,13.2,0,0,0,11.56,-0.701,0,0,18,1,0,0,0,1
2026-04-08T18:35:18.180755,2,224.75,50.199,161203.7,14.97,0,0,0,4.75,0.199,0,0,18,1,0,0,0,2
2026-04-08T18:35:20.180665,3,215.59,49.049,153135.3,13.99,0,0,0,-4.41,-0.951,0,0,18,1,0,0,0,3
2026-04-08T18:35:22.180567,4,208.48,51.261,140577.3,13.44,0,0,0,-11.52,1.261,0,0,18,1,0,0,0,4
2026-04-08T18:35:24.180679,5,208.99,51.02,136335.9,12.6,0,0,0,-11.01,1.02,0,0,18,1,0,0,0,5
2026-04-08T18:35:26.180678,6,201.24,50.77,159601.5,14.14,0,0,0,-18.76,0.77,0,0,18,1,0,0,0,6
2026-04-08T18:35:28.180650,7,223.57,49.649,141852.7,12.5,0,0,0,3.57,-0.351,0,0,18,1,0,0,0,7
2026-04-08T18:35:30.181119,8,230.5,52.842,146852.3,13.72,0,0,0,10.5,2.842,0,1,18,1,0,0,0,8
2026-04-08T18:35:32.180656,9,257.07,51.726,135874.2,11.54,0,0,0,37.07,1.726,1,0,18,1,0,0,0,9
2026-04-08T18:35:34.180534,10,218.55,55.486,135181.5,13.58,0,0,0,-1.45,5.486,0,1,18,1,0,0,0,10
2026-04-08T18:35:36.180575,11,221.03,53.944,158486.3,12.22,0,0,0,1.03,3.944,0,1,18,1,0,0,0,11
2026-04-08T18:35:38.180325,12,216.29,50.745,135494.3,11.9,0,0,0,-3.71,0.745,0,0,18,1,0,0,0,12
2026-04-08T18:35:40.180558,13,205.95,50.242,133799.9,12.48,0,0,0,-14.05,0.242,0,0,18,1,0,0,0,13
2026-04-08T18:35:42.180321,14,211.99,48.758,150707.7,13.72,0,0,0,-8.01,-1.242,0,0,18,1,0,0,0,14
